.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC006001 | A63243 | M TYPE 006-001 NEXRAD LVL 3 SUPEROB RADIAL WIND          |
| NC006002 | A62244 | M TYPE 006-002 NEXRAD LVL 2.5 SUPEROB RADIAL WIND        |
| NC006010 | A58010 | M TYPE 006-010 NEXRAD LVL 2 RADIAL WIND (00z)            |
| NC006011 | A58011 | M TYPE 006-011 NEXRAD LVL 2 RADIAL WIND (01z)            |
| NC006012 | A58012 | M TYPE 006-012 NEXRAD LVL 2 RADIAL WIND (02z)            |
| NC006013 | A58013 | M TYPE 006-013 NEXRAD LVL 2 RADIAL WIND (03z)            |
| NC006014 | A58014 | M TYPE 006-014 NEXRAD LVL 2 RADIAL WIND (04z)            |
| NC006015 | A58015 | M TYPE 006-015 NEXRAD LVL 2 RADIAL WIND (05z)            |
| NC006016 | A58016 | M TYPE 006-016 NEXRAD LVL 2 RADIAL WIND (06z)            |
| NC006017 | A58017 | M TYPE 006-017 NEXRAD LVL 2 RADIAL WIND (07z)            |
| NC006018 | A58018 | M TYPE 006-018 NEXRAD LVL 2 RADIAL WIND (08z)            |
| NC006019 | A58019 | M TYPE 006-019 NEXRAD LVL 2 RADIAL WIND (09z)            |
| NC006020 | A58020 | M TYPE 006-020 NEXRAD LVL 2 RADIAL WIND (10z)            |
| NC006021 | A58021 | M TYPE 006-021 NEXRAD LVL 2 RADIAL WIND (11z)            |
| NC006022 | A58022 | M TYPE 006-022 NEXRAD LVL 2 RADIAL WIND (12z)            |
| NC006023 | A58023 | M TYPE 006-023 NEXRAD LVL 2 RADIAL WIND (13z)            |
| NC006024 | A58024 | M TYPE 006-024 NEXRAD LVL 2 RADIAL WIND (14z)            |
| NC006025 | A58025 | M TYPE 006-025 NEXRAD LVL 2 RADIAL WIND (15z)            |
| NC006026 | A58026 | M TYPE 006-026 NEXRAD LVL 2 RADIAL WIND (16z)            |
| NC006027 | A58027 | M TYPE 006-027 NEXRAD LVL 2 RADIAL WIND (17z)            |
| NC006028 | A58028 | M TYPE 006-028 NEXRAD LVL 2 RADIAL WIND (18z)            |
| NC006029 | A58029 | M TYPE 006-029 NEXRAD LVL 2 RADIAL WIND (19z)            |
| NC006030 | A58030 | M TYPE 006-030 NEXRAD LVL 2 RADIAL WIND (20z)            |
| NC006031 | A58031 | M TYPE 006-031 NEXRAD LVL 2 RADIAL WIND (21z)            |
| NC006032 | A58032 | M TYPE 006-032 NEXRAD LVL 2 RADIAL WIND (22z)            |
| NC006033 | A58033 | M TYPE 006-033 NEXRAD LVL 2 RADIAL WIND (23z)            |
| NC006040 | A58040 | M TYPE 006-040 NEXRAD LVL 2 REFLECTIVITY (00z)           |
| NC006041 | A58041 | M TYPE 006-041 NEXRAD LVL 2 REFLECTIVITY (01z)           |
| NC006042 | A58042 | M TYPE 006-042 NEXRAD LVL 2 REFLECTIVITY (02z)           |
